"ppn"	"mv"	"trial"	"blk"	"hnd"	"tfac"	"fac"	"prmt"	"ttype"	"xr"	"r"	"cor"	"rt"	"re"	"target"	"contingency_aware"	"contingency_correct"
"45"	1	"v"	45	2	1	2	4	216	1	5	5	1	586	6	"vriendelijk"	1	1
"46"	1	"v"	46	2	1	1	0	216	0	6	6	1	510	1	"irritant"	1	1
"48"	1	"v"	48	2	1	1	0	216	1	5	5	1	433	7	"mooi"	1	1
"50"	1	"v"	50	2	1	1	5	216	1	5	5	1	481	1	"lief"	1	1
"51"	1	"v"	51	2	1	1	1	216	0	6	6	1	478	7	"irritant"	0	2
"52"	1	"v"	52	2	1	2	6	216	0	6	6	1	492	1	"onsympathiek"	1	1
"53"	1	"v"	53	2	1	2	3	216	1	5	5	1	499	1	"aangenaam"	0	2
"54"	1	"v"	54	2	1	2	3	216	1	5	5	1	461	1	"mooi"	0	2
"55"	1	"v"	55	2	1	2	2	216	1	5	5	1	491	1	"aangenaam"	0	2
"56"	1	"v"	56	2	1	1	7	216	1	5	5	1	455	1	"vriendelijk"	1	1
"57"	1	"v"	57	2	1	1	7	216	1	5	5	1	400	1	"vriendelijk"	1	1
"58"	1	"v"	58	2	1	2	3	216	1	5	5	1	474	7	"vriendelijk"	0	2
"59"	1	"v"	59	2	1	2	3	216	1	5	5	1	440	7	"aangenaam"	0	2
"60"	1	"v"	60	2	1	2	6	216	1	5	5	1	412	1	"vriendelijk"	1	1
"61"	1	"v"	61	2	1	2	6	216	0	6	6	1	440	7	"onsympathiek"	1	1
"62"	1	"v"	62	2	1	2	6	216	1	5	5	1	467	1	"liefhebbend"	1	1
"63"	1	"v"	63	2	1	1	0	216	0	6	6	1	474	1	"onsympathiek"	1	1
"64"	1	"v"	64	2	1	1	0	216	1	5	5	1	589	7	"lief"	1	1
"65"	1	"v"	65	3	1	2	2	216	0	6	6	1	447	1	"onaardig"	0	2
"66"	1	"v"	66	3	1	2	4	216	0	6	6	1	456	7	"humeurig"	1	1
"67"	1	"v"	67	3	1	2	6	216	0	6	6	1	456	1	"onaardig"	1	1
"68"	1	"v"	68	3	1	1	5	216	1	5	5	1	471	7	"sympathiek"	1	1
"69"	1	"v"	69	3	1	1	7	216	0	6	6	1	497	7	"stug"	1	1
"70"	1	"v"	70	3	1	2	2	216	1	5	5	1	458	1	"vriendelijk"	0	2
"71"	1	"v"	71	3	1	1	1	216	1	5	5	1	414	7	"vriendelijk"	0	2
"72"	1	"v"	72	3	1	2	4	216	0	6	6	1	403	1	"humeurig"	1	1
"73"	1	"v"	73	3	1	2	2	216	0	6	6	1	448	7	"stug"	0	2
"74"	1	"v"	74	3	1	1	7	216	0	6	6	1	483	7	"onsympathiek"	1	1
"75"	1	"v"	75	3	1	2	6	216	0	6	6	1	395	7	"onaardig"	1	1
"76"	1	"v"	76	3	1	1	1	216	1	5	5	1	448	1	"mooi"	0	2
"78"	1	"v"	78	3	1	1	1	216	0	6	6	1	467	7	"stug"	0	2
"79"	1	"v"	79	3	1	2	4	216	0	6	6	1	494	1	"stug"	1	1
"80"	1	"v"	80	3	1	2	4	216	0	6	6	1	543	7	"onvriendelijk"	1	1
"81"	1	"v"	81	3	1	1	5	216	0	6	6	1	444	1	"stug"	1	1
"82"	1	"v"	82	3	1	1	1	216	0	6	6	1	443	1	"onaardig"	0	2
"83"	1	"v"	83	3	1	1	5	216	0	6	6	1	436	7	"onvriendelijk"	1	1
"84"	1	"v"	84	3	1	1	7	216	0	6	6	1	404	6	"onvriendelijk"	1	1
"85"	1	"v"	85	3	1	2	4	216	1	5	5	1	519	1	"lief"	1	1
"86"	1	"v"	86	3	1	1	0	216	0	6	6	1	451	1	"irritant"	1	1
"87"	1	"v"	87	3	1	1	5	216	1	5	5	1	518	1	"lief"	1	1
"88"	1	"v"	88	3	1	2	6	216	1	5	5	1	544	1	"liefhebbend"	1	1
"89"	1	"v"	89	3	1	1	5	216	1	5	5	1	482	1	"mooi"	1	1
"90"	1	"v"	90	3	1	2	6	216	1	5	5	1	492	7	"aangenaam"	1	1
"91"	1	"v"	91	3	1	1	7	216	0	6	6	1	578	1	"humeurig"	1	1
"92"	1	"v"	92	3	1	2	2	216	0	6	6	1	579	1	"irritant"	0	2
"93"	1	"v"	93	3	1	1	1	216	1	5	5	1	518	1	"aangenaam"	0	2
"94"	1	"v"	94	3	1	1	5	216	0	6	6	1	560	7	"humeurig"	1	1
"95"	1	"v"	95	3	1	1	7	216	0	6	6	1	624	1	"humeurig"	1	1
"96"	1	"v"	96	3	1	2	3	216	0	6	6	1	478	1	"onaardig"	0	2
"97"	1	"v"	97	4	1	1	5	216	1	5	5	1	504	7	"lief"	1	1
"98"	1	"v"	98	4	1	2	2	216	1	5	5	1	489	7	"mooi"	0	2
"99"	1	"v"	99	4	1	2	6	216	0	6	6	1	423	1	"irritant"	1	1
"100"	1	"v"	100	4	1	2	3	216	0	6	6	1	414	7	"onvriendelijk"	0	2
"101"	1	"v"	101	4	1	1	0	216	1	5	5	1	461	1	"aangenaam"	1	1
"102"	1	"v"	102	4	1	2	4	216	0	6	6	1	432	1	"humeurig"	1	1
"103"	1	"v"	103	4	1	2	4	216	0	6	6	1	386	1	"irritant"	1	1
"104"	1	"v"	104	4	1	1	0	216	0	6	6	1	475	1	"humeurig"	1	1
"105"	1	"v"	105	4	1	2	3	216	0	6	6	1	454	7	"onvriendelijk"	0	2
"106"	1	"v"	106	4	1	2	3	216	1	5	5	1	544	7	"vriendelijk"	0	2
"107"	1	"v"	107	4	1	1	1	216	1	5	5	1	517	1	"mooi"	0	2
"108"	1	"v"	108	4	1	2	2	216	1	5	5	1	545	7	"aangenaam"	0	2
"109"	1	"v"	109	4	1	1	7	216	1	5	5	1	524	1	"vriendelijk"	1	1
"110"	1	"v"	110	4	1	1	0	216	0	6	6	1	473	7	"stug"	1	1
"111"	1	"v"	111	4	1	1	1	216	1	5	5	1	550	7	"liefhebbend"	0	2
"112"	1	"v"	112	4	1	2	6	216	1	5	5	1	452	7	"mooi"	1	1
"113"	1	"v"	113	4	1	1	0	216	0	6	6	1	471	1	"onsympathiek"	1	1
"114"	1	"v"	114	4	1	1	5	216	0	6	6	1	486	1	"irritant"	1	1
"115"	1	"v"	115	4	1	1	1	216	0	6	6	1	450	6	"irritant"	0	2
"116"	1	"v"	116	4	1	1	5	216	1	5	5	1	513	8	"vriendelijk"	1	1
"117"	1	"v"	117	4	1	2	4	216	1	5	5	1	579	8	"vriendelijk"	1	1
"118"	1	"v"	118	4	1	1	7	216	1	5	5	1	535	1	"liefhebbend"	1	1
"119"	1	"v"	119	4	1	2	3	216	1	5	5	1	490	7	"sympathiek"	0	2
"120"	1	"v"	120	4	1	1	0	216	1	5	5	1	463	7	"vriendelijk"	1	1
"121"	1	"v"	121	4	1	2	2	216	1	5	5	1	461	7	"aangenaam"	0	2
"122"	1	"v"	122	4	1	1	1	216	1	5	5	1	451	1	"lief"	0	2
"123"	1	"v"	123	4	1	1	1	216	0	6	6	1	585	6	"irritant"	0	2
"124"	1	"v"	124	4	1	1	7	216	1	5	5	1	514	1	"sympathiek"	1	1
"125"	1	"v"	125	4	1	2	3	216	1	5	5	1	443	7	"mooi"	0	2
"126"	1	"v"	126	4	1	2	4	216	1	5	5	1	606	1	"vriendelijk"	1	1
"127"	1	"v"	127	4	1	2	3	216	0	6	6	1	485	7	"irritant"	0	2
"128"	1	"v"	128	4	1	1	5	216	0	6	6	1	468	7	"onaardig"	1	1
"129"	2	"v"	1	1	2	1	5	216	1	6	6	1	752	7	"sympathiek"	1	1
"130"	2	"v"	2	1	2	1	7	216	0	5	5	1	619	7	"onvriendelijk"	1	1
"132"	2	"v"	4	1	2	1	7	216	1	6	6	1	513	7	"vriendelijk"	1	1
"133"	2	"v"	5	1	2	2	2	216	0	5	5	1	630	7	"humeurig"	1	1
"135"	2	"v"	7	1	2	2	3	216	1	6	6	1	520	6	"aangenaam"	0	2
"136"	2	"v"	8	1	2	1	7	216	0	5	5	1	747	6	"humeurig"	1	1
"137"	2	"v"	9	1	2	1	1	216	1	6	6	1	513	1	"aangenaam"	1	1
"138"	2	"v"	10	1	2	2	3	216	1	6	6	1	425	1	"mooi"	0	2
"139"	2	"v"	11	1	2	1	0	216	1	6	6	1	422	1	"vriendelijk"	0	4
"140"	2	"v"	12	1	2	1	7	216	0	5	5	1	519	7	"humeurig"	1	1
"141"	2	"v"	13	1	2	1	1	216	0	5	5	1	559	7	"onaardig"	1	1
"142"	2	"v"	14	1	2	2	6	216	0	5	5	1	646	1	"onaardig"	1	1
"143"	2	"v"	15	1	2	1	0	216	1	6	6	1	559	1	"liefhebbend"	0	4
"144"	2	"v"	16	1	2	2	6	216	1	6	6	1	447	7	"aangenaam"	1	1
"145"	2	"v"	17	1	2	1	5	216	1	6	6	1	402	8	"vriendelijk"	1	1
"146"	2	"v"	18	1	2	2	3	216	0	5	5	1	503	1	"onvriendelijk"	0	2
"147"	2	"v"	19	1	2	1	5	216	0	5	5	1	500	1	"humeurig"	1	1
"148"	2	"v"	20	1	2	2	3	216	0	5	5	1	466	7	"onvriendelijk"	0	2
"149"	2	"v"	21	1	2	2	4	216	1	6	6	1	402	1	"mooi"	0	3
"150"	2	"v"	22	1	2	2	6	216	1	6	6	1	503	7	"sympathiek"	1	1
"151"	2	"v"	23	1	2	2	4	216	0	5	5	1	525	25	"humeurig"	0	3
"152"	2	"v"	24	1	2	1	5	216	0	5	5	1	773	1	"stug"	1	1
"153"	2	"v"	25	1	2	2	2	216	0	5	5	1	472	1	"onaardig"	1	1
"154"	2	"v"	26	1	2	2	3	216	1	6	6	1	484	1	"mooi"	0	2
"155"	2	"v"	27	1	2	1	0	216	0	5	5	1	631	1	"onvriendelijk"	0	4
"156"	2	"v"	28	1	2	2	4	216	0	5	5	1	483	7	"stug"	0	3
"157"	2	"v"	29	1	2	1	5	216	1	6	6	1	470	7	"vriendelijk"	1	1
"158"	2	"v"	30	1	2	2	2	216	1	6	6	1	408	7	"sympathiek"	1	1
"159"	2	"v"	31	1	2	2	6	216	1	6	6	1	371	1	"lief"	1	1
"160"	2	"v"	32	1	2	2	6	216	0	5	5	1	437	7	"stug"	1	1
"161"	2	"v"	33	2	2	2	6	216	1	6	6	1	488	1	"lief"	1	1
"162"	2	"v"	34	2	2	2	4	233	0	5	5	1	640	1	"onsympathiek"	0	3
"163"	2	"v"	35	2	2	1	5	216	1	6	6	1	521	7	"lief"	1	1
"164"	2	"v"	36	2	2	1	7	216	1	6	6	1	442	1	"liefhebbend"	1	1
"165"	2	"v"	37	2	2	2	6	216	0	5	5	1	476	7	"onaardig"	1	1
"166"	2	"v"	38	2	2	2	4	216	1	6	6	1	466	7	"lief"	0	3
"167"	2	"v"	39	2	2	1	5	216	0	5	5	1	497	1	"stug"	1	1
"168"	2	"v"	40	2	2	1	7	216	1	6	6	1	487	1	"vriendelijk"	1	1
"169"	2	"v"	41	2	2	1	5	216	0	5	5	1	625	1	"onvriendelijk"	1	1
"170"	2	"v"	42	2	2	1	7	216	0	5	5	1	498	7	"onsympathiek"	1	1
"171"	2	"v"	43	2	2	2	2	216	1	6	6	1	473	7	"sympathiek"	1	1
"172"	2	"v"	44	2	2	1	7	216	0	5	5	1	491	7	"onaardig"	1	1
"173"	2	"v"	45	2	2	1	0	216	0	5	5	1	670	7	"irritant"	0	4
"174"	2	"v"	46	2	2	2	3	216	0	5	5	1	447	7	"irritant"	0	2
"175"	2	"v"	47	2	2	2	4	216	1	6	6	1	387	6	"sympathiek"	0	3
"176"	2	"v"	48	2	2	1	1	216	0	5	5	1	518	7	"humeurig"	1	1
"177"	2	"v"	49	2	2	2	6	216	0	5	5	1	523	7	"irritant"	1	1
"178"	2	"v"	50	2	2	1	0	216	1	6	6	1	405	10	"sympathiek"	0	4
"179"	2	"v"	51	2	2	2	2	216	0	5	5	1	459	6	"onvriendelijk"	1	1
"180"	2	"v"	52	2	2	1	5	216	1	6	6	1	408	7	"lief"	1	1
"182"	2	"v"	54	2	2	1	1	216	0	5	5	1	500	1	"irritant"	1	1
"183"	2	"v"	55	2	2	2	6	216	1	6	6	1	424	1	"vriendelijk"	1	1
"184"	2	"v"	56	2	2	2	3	216	1	6	6	1	393	1	"vriendelijk"	0	2
"185"	2	"v"	57	2	2	1	0	216	1	6	6	1	392	7	"mooi"	0	4
"186"	2	"v"	58	2	2	2	3	216	1	6	6	1	368	7	"vriendelijk"	0	2
"187"	2	"v"	59	2	2	1	0	216	0	5	5	1	483	7	"irritant"	0	4
"188"	2	"v"	60	2	2	1	5	216	0	5	5	1	442	7	"stug"	1	1
"189"	2	"v"	61	2	2	1	5	216	0	5	5	1	553	7	"onsympathiek"	1	1
"190"	2	"v"	62	2	2	1	7	216	1	6	6	1	352	6	"mooi"	1	1
"191"	2	"v"	63	2	2	2	6	216	1	6	6	1	475	7	"vriendelijk"	1	1
"192"	2	"v"	64	2	2	2	4	216	0	5	5	1	474	1	"onvriendelijk"	0	3
"193"	2	"v"	65	3	2	2	3	216	0	5	5	1	430	6	"irritant"	0	2
"194"	2	"v"	66	3	2	1	0	216	0	5	5	1	464	1	"onvriendelijk"	0	4
"195"	2	"v"	67	3	2	1	1	216	1	6	6	1	355	1	"lief"	1	1
"196"	2	"v"	68	3	2	2	3	216	1	6	6	1	534	1	"aangenaam"	0	2
"197"	2	"v"	69	3	2	1	1	216	1	6	6	1	377	1	"mooi"	1	1
"198"	2	"v"	70	3	2	1	5	216	0	5	5	1	446	7	"onsympathiek"	1	1
"199"	2	"v"	71	3	2	1	1	216	0	5	5	1	474	1	"onsympathiek"	1	1
"200"	2	"v"	72	3	2	1	1	216	0	5	5	1	537	1	"onaardig"	1	1
"201"	2	"v"	73	3	2	2	4	216	1	6	6	1	391	7	"aangenaam"	0	3
"202"	2	"v"	74	3	2	2	2	216	0	5	5	1	489	8	"onvriendelijk"	1	1
"203"	2	"v"	75	3	2	2	6	216	1	6	6	1	418	7	"mooi"	1	1
"204"	2	"v"	76	3	2	1	7	216	1	6	6	1	492	1	"aangenaam"	1	1
"205"	2	"v"	77	3	2	2	2	216	0	5	5	1	619	1	"onvriendelijk"	1	1
"206"	2	"v"	78	3	2	1	7	216	0	5	5	1	451	1	"onsympathiek"	1	1
"207"	2	"v"	79	3	2	2	4	216	0	5	5	1	511	7	"stug"	0	3
"208"	2	"v"	80	3	2	2	2	216	1	6	6	1	358	1	"lief"	1	1
"209"	2	"v"	81	3	2	2	4	216	0	5	5	1	500	1	"onsympathiek"	0	3
"210"	2	"v"	82	3	2	1	7	216	1	6	6	1	452	6	"liefhebbend"	1	1
"211"	2	"v"	83	3	2	1	0	216	0	5	5	1	483	7	"onsympathiek"	0	4
"212"	2	"v"	84	3	2	1	7	216	1	6	6	1	612	1	"aangenaam"	1	1
"213"	2	"v"	85	3	2	2	2	216	1	6	6	1	395	1	"aangenaam"	1	1
"214"	2	"v"	86	3	2	2	3	216	0	5	5	1	538	1	"onsympathiek"	0	2
"215"	2	"v"	87	3	2	2	6	216	0	5	5	1	445	7	"stug"	1	1
"216"	2	"v"	88	3	2	2	6	216	0	5	5	1	371	1	"stug"	1	1
"217"	2	"v"	89	3	2	1	7	216	0	5	5	1	477	7	"humeurig"	1	1
"218"	2	"v"	90	3	2	1	1	216	1	6	6	1	399	1	"liefhebbend"	1	1
"219"	2	"v"	91	3	2	1	7	216	1	6	6	1	389	7	"mooi"	1	1
"220"	2	"v"	92	3	2	2	4	216	1	6	6	1	370	7	"vriendelijk"	0	3
"221"	2	"v"	93	3	2	2	6	216	0	5	5	1	406	7	"onaardig"	1	1
"222"	2	"v"	94	3	2	2	4	216	1	6	6	1	383	7	"mooi"	0	3
"223"	2	"v"	95	3	2	1	1	216	1	6	6	1	599	1	"sympathiek"	1	1
"224"	2	"v"	96	3	2	1	5	216	1	6	6	1	373	7	"vriendelijk"	1	1
"225"	2	"v"	97	4	2	2	2	216	0	5	5	1	460	7	"onsympathiek"	1	1
"226"	2	"v"	98	4	2	2	4	216	0	5	5	1	468	1	"onaardig"	0	3
"227"	2	"v"	99	4	2	1	5	216	0	5	5	1	353	7	"stug"	1	1
"228"	2	"v"	100	4	2	2	2	216	1	6	6	1	354	1	"liefhebbend"	1	1
"229"	2	"v"	101	4	2	1	0	216	0	5	5	1	418	1	"onsympathiek"	0	4
"230"	2	"v"	102	4	2	1	0	216	1	6	6	1	474	1	"sympathiek"	0	4
"231"	2	"v"	103	4	2	2	3	216	1	6	6	1	436	7	"lief"	0	2
"232"	2	"v"	104	4	2	2	3	216	1	6	6	1	353	7	"lief"	0	2
"233"	2	"v"	105	4	2	1	5	216	1	6	6	1	466	1	"vriendelijk"	1	1
"234"	2	"v"	106	4	2	2	6	216	1	6	6	1	396	1	"vriendelijk"	1	1
"235"	2	"v"	107	4	2	2	3	216	0	5	5	1	495	7	"onsympathiek"	0	2
"236"	2	"v"	108	4	2	1	1	216	1	6	6	1	391	7	"mooi"	1	1
"237"	2	"v"	109	4	2	1	1	216	1	6	6	1	454	1	"aangenaam"	1	1
"238"	2	"v"	110	4	2	1	0	216	1	6	6	1	349	1	"aangenaam"	0	4
"239"	2	"v"	111	4	2	1	1	216	0	5	5	1	441	7	"onsympathiek"	1	1
"240"	2	"v"	112	4	2	2	2	216	0	5	5	1	666	1	"onvriendelijk"	1	1
"241"	2	"v"	113	4	2	2	4	216	0	5	5	1	535	1	"irritant"	0	3
"242"	2	"v"	114	4	2	2	2	216	1	6	6	1	638	1	"vriendelijk"	1	1
"243"	2	"v"	115	4	2	2	3	216	0	5	5	1	539	1	"humeurig"	0	2
"244"	2	"v"	116	4	2	1	0	216	0	5	5	1	460	1	"irritant"	0	4
"245"	2	"v"	117	4	2	2	2	216	1	6	6	1	536	6	"aangenaam"	1	1
"246"	2	"v"	118	4	2	1	1	216	1	6	6	1	419	6	"aangenaam"	1	1
"247"	2	"v"	119	4	2	1	7	216	0	5	5	1	532	6	"onaardig"	1	1
"248"	2	"v"	120	4	2	1	1	216	0	5	5	1	544	7	"onvriendelijk"	1	1
"249"	2	"v"	121	4	2	1	0	216	1	6	6	1	449	1	"vriendelijk"	0	4
"250"	2	"v"	122	4	2	1	0	216	1	6	6	1	443	7	"aangenaam"	0	4
"251"	2	"v"	123	4	2	2	2	216	1	6	6	1	456	1	"vriendelijk"	1	1
"252"	2	"v"	124	4	2	2	3	216	0	5	5	1	472	6	"humeurig"	0	2
"253"	2	"v"	125	4	2	2	4	216	1	6	6	1	475	1	"lief"	0	3
"254"	2	"v"	126	4	2	2	4	216	1	6	6	1	462	7	"vriendelijk"	0	3
"255"	2	"v"	127	4	2	2	2	216	0	5	5	1	623	1	"humeurig"	1	1
"256"	2	"v"	128	4	2	1	0	216	0	5	5	1	512	1	"irritant"	0	4
"257"	3	"v"	1	1	2	2	4	216	0	5	5	1	882	8	"onaardig"	0	3
"258"	3	"v"	2	1	2	2	5	216	1	6	6	1	738	10	"sympathiek"	0	4
"259"	3	"v"	3	1	2	2	3	216	1	6	6	1	699	1	"vriendelijk"	1	1
"260"	3	"v"	4	1	2	2	1	216	0	5	5	1	755	7	"stug"	1	1
"261"	3	"v"	5	1	2	1	0	216	0	5	5	1	641	7	"stug"	0	4
"262"	3	"v"	6	1	2	2	1	216	0	5	5	1	749	8	"humeurig"	1	1
"263"	3	"v"	7	1	2	2	4	216	0	5	5	1	652	1	"stug"	0	3
"264"	3	"v"	8	1	2	2	5	216	0	5	5	1	788	1	"irritant"	0	4
"265"	3	"v"	9	1	2	2	3	216	1	6	6	1	610	7	"sympathiek"	1	1
"267"	3	"v"	11	1	2	1	0	216	0	5	5	1	651	1	"irritant"	0	4
"268"	3	"v"	12	1	2	2	3	216	0	5	5	1	740	1	"onaardig"	1	1
"269"	3	"v"	13	1	2	2	5	216	0	5	5	1	708	7	"onvriendelijk"	0	4
"270"	3	"v"	14	1	2	1	6	216	0	5	5	1	630	1	"irritant"	0	2
"271"	3	"v"	15	1	2	1	7	216	1	6	6	1	536	10	"sympathiek"	0	2
"272"	3	"v"	16	1	2	2	5	216	1	6	6	1	661	8	"mooi"	0	4
"273"	3	"v"	17	1	2	2	4	216	1	6	6	1	591	8	"lief"	0	3
"274"	3	"v"	18	1	2	1	0	216	0	5	5	1	602	7	"onaardig"	0	4
"275"	3	"v"	19	1	2	1	2	216	1	6	6	1	697	1	"aangenaam"	0	3
"276"	3	"v"	20	1	2	1	7	216	1	6	6	1	585	8	"mooi"	0	2
"277"	3	"v"	21	1	2	1	7	216	0	5	5	1	472	7	"onsympathiek"	0	2
"278"	3	"v"	22	1	2	2	3	216	1	6	6	1	518	1	"mooi"	1	1
"279"	3	"v"	23	1	2	1	6	216	1	6	6	1	424	7	"mooi"	0	2
"280"	3	"v"	24	1	2	2	4	216	1	6	6	1	480	7	"lief"	0	3
"281"	3	"v"	25	1	2	2	4	216	0	5	5	1	544	7	"onaardig"	0	3
"282"	3	"v"	26	1	2	1	0	216	1	6	6	1	512	1	"vriendelijk"	0	4
"284"	3	"v"	28	1	2	1	6	216	1	6	6	1	676	7	"liefhebbend"	0	2
"285"	3	"v"	29	1	2	1	0	216	1	6	6	1	544	1	"mooi"	0	4
"286"	3	"v"	30	1	2	2	1	216	0	5	5	1	638	7	"onvriendelijk"	1	1
"287"	3	"v"	31	1	2	2	1	216	0	5	5	1	571	1	"onaardig"	1	1
"288"	3	"v"	32	1	2	1	0	216	1	6	6	1	773	1	"aangenaam"	0	4
"289"	3	"v"	33	2	2	2	5	216	0	5	5	1	754	1	"onsympathiek"	0	4
"290"	3	"v"	34	2	2	2	1	216	1	6	6	1	709	1	"vriendelijk"	1	1
"291"	3	"v"	35	2	2	1	6	216	0	5	5	1	665	1	"humeurig"	0	2
"292"	3	"v"	36	2	2	2	1	216	1	6	6	1	882	1	"aangenaam"	1	1
"293"	3	"v"	37	2	2	1	7	216	0	5	5	1	793	7	"onvriendelijk"	0	2
"294"	3	"v"	38	2	2	2	4	216	1	6	6	1	755	1	"vriendelijk"	0	3
"295"	3	"v"	39	2	2	1	2	216	0	5	5	1	733	1	"onsympathiek"	0	3
"296"	3	"v"	40	2	2	1	0	216	0	5	5	1	626	1	"irritant"	0	4
"297"	3	"v"	41	2	2	1	2	216	0	5	5	1	572	7	"onaardig"	0	3
"298"	3	"v"	42	2	2	2	1	216	0	5	5	1	680	6	"humeurig"	1	1
"299"	3	"v"	43	2	2	1	7	216	0	5	5	1	693	6	"humeurig"	0	2
"300"	3	"v"	44	2	2	2	4	216	1	6	6	1	641	7	"lief"	0	3
"301"	3	"v"	45	2	2	1	7	216	1	6	6	1	693	1	"sympathiek"	0	2
"303"	3	"v"	47	2	2	1	6	216	1	6	6	1	779	1	"aangenaam"	0	2
"304"	3	"v"	48	2	2	2	1	216	0	5	5	1	587	1	"humeurig"	1	1
"305"	3	"v"	49	2	2	2	1	216	1	6	6	1	612	7	"sympathiek"	1	1
"306"	3	"v"	50	2	2	1	7	216	0	5	5	1	611	1	"humeurig"	0	2
"307"	3	"v"	51	2	2	1	2	216	1	6	6	1	667	1	"mooi"	0	3
"308"	3	"v"	52	2	2	2	5	216	0	5	5	1	632	1	"onvriendelijk"	0	4
"309"	3	"v"	53	2	2	1	7	216	1	6	6	1	846	1	"sympathiek"	0	2
"311"	3	"v"	55	2	2	1	7	216	1	6	6	1	643	6	"mooi"	0	2
"312"	3	"v"	56	2	2	1	6	216	1	6	6	1	607	1	"sympathiek"	0	2
"313"	3	"v"	57	2	2	2	4	216	0	5	5	1	685	7	"onsympathiek"	0	3
"314"	3	"v"	58	2	2	1	0	216	0	5	5	1	610	1	"humeurig"	0	4
"315"	3	"v"	59	2	2	2	1	216	0	5	5	1	554	1	"onvriendelijk"	1	1
