"ppn"	"mv"	"trial"	"blk"	"hnd"	"tfac"	"fac"	"prmt"	"ttype"	"xr"	"r"	"cor"	"rt"	"re"	"target"	"contingency_aware"	"contingency_correct"
"1"	1	"v"	1	1	1	2	4	216	1	5	5	1	540	1	"lief"	1	1
"2"	1	"v"	2	1	1	2	3	216	0	6	6	1	475	7	"onaardig"	0	2
"3"	1	"v"	3	1	1	1	1	216	1	5	5	1	523	1	"vriendelijk"	0	2
"4"	1	"v"	4	1	1	2	6	216	0	6	6	1	485	7	"irritant"	1	1
"5"	1	"v"	5	1	1	1	7	216	1	5	5	1	467	1	"vriendelijk"	1	1
"6"	1	"v"	6	1	1	2	4	216	0	6	6	1	421	7	"onvriendelijk"	1	1
"7"	1	"v"	7	1	1	1	5	216	0	6	6	1	495	7	"onvriendelijk"	1	1
"8"	1	"v"	8	1	1	2	6	216	1	5	5	1	427	1	"lief"	1	1
"9"	1	"v"	9	1	1	2	6	216	0	6	6	1	511	7	"onaardig"	1	1
"10"	1	"v"	10	1	1	1	1	216	1	5	5	1	374	6	"vriendelijk"	0	2
"11"	1	"v"	11	1	1	1	0	216	1	5	5	1	457	1	"sympathiek"	1	1
"12"	1	"v"	12	1	1	1	5	216	1	5	5	1	394	7	"liefhebbend"	1	1
"13"	1	"v"	13	1	1	2	6	216	1	5	5	1	411	7	"aangenaam"	1	1
"14"	1	"v"	14	1	1	2	4	216	1	5	5	1	413	1	"sympathiek"	1	1
"15"	1	"v"	15	1	1	2	4	216	1	5	5	1	468	1	"aangenaam"	1	1
"16"	1	"v"	16	1	1	2	4	216	0	6	6	1	568	7	"onvriendelijk"	1	1
"17"	1	"v"	17	1	1	1	0	216	1	5	5	1	484	7	"aangenaam"	1	1
"18"	1	"v"	18	1	1	1	0	216	1	5	5	1	392	1	"sympathiek"	1	1
"19"	1	"v"	19	1	1	1	1	216	0	6	6	1	578	1	"humeurig"	0	2
"20"	1	"v"	20	1	1	2	6	216	1	5	5	1	471	1	"lief"	1	1
"21"	1	"v"	21	1	1	2	2	216	1	5	5	1	427	8	"aangenaam"	0	2
"22"	1	"v"	22	1	1	1	0	216	0	6	6	1	544	6	"stug"	1	1
"23"	1	"v"	23	1	1	1	5	216	0	6	6	1	502	1	"stug"	1	1
"24"	1	"v"	24	1	1	1	1	216	0	6	6	1	469	7	"onsympathiek"	0	2
"25"	1	"v"	25	1	1	2	2	216	1	5	5	1	420	7	"mooi"	0	2
"26"	1	"v"	26	1	1	1	7	216	0	6	6	1	376	6	"onaardig"	1	1
"27"	1	"v"	27	1	1	1	7	216	1	5	5	1	459	1	"sympathiek"	1	1
"28"	1	"v"	28	1	1	2	2	216	1	5	5	1	503	1	"liefhebbend"	0	2
"30"	1	"v"	30	1	1	2	2	216	0	6	6	1	453	1	"onvriendelijk"	0	2
"31"	1	"v"	31	1	1	2	2	216	0	6	6	1	459	1	"onsympathiek"	0	2
"33"	1	"v"	33	2	1	1	1	216	0	6	6	1	468	6	"stug"	0	2
"34"	1	"v"	34	2	1	2	2	216	0	6	6	1	460	1	"irritant"	0	2
"35"	1	"v"	35	2	1	2	3	216	0	6	6	1	464	1	"stug"	0	2
"36"	1	"v"	36	2	1	2	2	216	0	6	6	1	450	10	"irritant"	0	2
"37"	1	"v"	37	2	1	2	6	216	0	6	6	1	456	7	"onsympathiek"	1	1
"38"	1	"v"	38	2	1	1	7	216	0	6	6	1	444	1	"onsympathiek"	1	1
"39"	1	"v"	39	2	1	1	5	216	0	6	6	1	464	1	"onvriendelijk"	1	1
"40"	1	"v"	40	2	1	2	3	216	0	6	6	1	457	1	"onvriendelijk"	0	2
"41"	1	"v"	41	2	1	2	2	216	0	6	6	1	448	7	"onaardig"	0	2
"42"	1	"v"	42	2	1	1	7	216	1	5	5	1	471	1	"mooi"	1	1
"43"	1	"v"	43	2	1	1	0	216	0	6	6	1	475	1	"onsympathiek"	1	1
"44"	1	"v"	44	2	1	2	3	216	1	5	5	1	581	1	"vriendelijk"	0	2
